Time Ran,Ability Name,Agent,Host,pid,Link Command,Plaintext Command
2026-05-15T04:08:53Z,Avoid logs,ebjgrn,safesoc-lnx-01,13596,> $HOME/.bash_history && unset HISTFILE,> $HOME/.bash_history && unset HISTFILE
2026-05-15T04:09:28Z,Stop/Start UFW firewall,ebjgrn,safesoc-lnx-01,13608,ufw disable,ufw disable
2026-05-15T04:10:13Z,Edit UFW firewall sysctl.conf file,ebjgrn,safesoc-lnx-01,13617,echo "# THIS IS A COMMENT" >> /etc/ufw/sysctl.conf; grep "# THIS IS A COMMENT" /etc/ufw/sysctl.conf,echo "# THIS IS A COMMENT" >> /etc/ufw/sysctl.conf; grep "# THIS IS A COMMENT" /etc/ufw/sysctl.conf
2026-05-15T04:11:18Z,Edit UFW firewall ufw.conf file,ebjgrn,safesoc-lnx-01,13626,echo "# THIS IS A COMMENT" >> /etc/ufw/ufw.conf; grep "# THIS IS A COMMENT" /etc/ufw/ufw.conf,echo "# THIS IS A COMMENT" >> /etc/ufw/ufw.conf; grep "# THIS IS A COMMENT" /etc/ufw/ufw.conf
2026-05-15T04:12:23Z,Overwrite Linux Mail Spool,ebjgrn,safesoc-lnx-01,13644,echo 0> /var/spool/mail/root,echo 0> /var/spool/mail/root
2026-05-15T04:13:33Z,Clear Pagging Cache,ebjgrn,safesoc-lnx-01,13664,free && echo 3 > /proc/sys/vm/drop_caches && free; echo 3> /proc/sys/vm/drop_caches,free && echo 3 > /proc/sys/vm/drop_caches && free; echo 3> /proc/sys/vm/drop_caches
2026-05-15T04:14:28Z,Clear Bash history (truncate),ebjgrn,safesoc-lnx-01,13681,truncate -s0 ~/.bash_history,truncate -s0 ~/.bash_history
2026-05-15T04:15:28Z,Setting the HISTFILE environment variable,ebjgrn,safesoc-lnx-01,13689,TEST=$(echo $HISTFILE); echo $HISTFILE; export HISTFILE="/dev/null"; echo "runnning some commands to populate the history"; whoami; groups; if [ $(echo $HISTFILE) == "/dev/null" ]; then echo "\$HISTFILE is /dev/null"; else HIST_LENGHT=$(wc -l $HISTFILE); echo "\$HISTFILE is not /dev/null, history lenght is $HIST_LENGHT";  fi,TEST=$(echo $HISTFILE); echo $HISTFILE; export HISTFILE="/dev/null"; echo "runnning some commands to populate the history"; whoami; groups; if [ $(echo $HISTFILE) == "/dev/null" ]; then echo "\$HISTFILE is /dev/null"; else HIST_LENGHT=$(wc -l $HISTFILE); echo "\$HISTFILE is not /dev/null, history lenght is $HIST_LENGHT";  fi
2026-05-15T04:16:38Z,Use Space Before Command to Avoid Logging to History,ebjgrn,safesoc-lnx-01,13705,hostname; whoami,hostname; whoami
2026-05-15T04:17:43Z,Create a hidden file in a hidden directory,ebjgrn,safesoc-lnx-01,13715,mkdir /var/tmp/.hidden-directory; echo "T1564.001" > /var/tmp/.hidden-directory/.hidden-file,mkdir /var/tmp/.hidden-directory; echo "T1564.001" > /var/tmp/.hidden-directory/.hidden-file
2026-05-15T04:18:48Z,Decode base64 Data into Script,ebjgrn,safesoc-lnx-01,13733,if [ -e "/tmp/encoded.dat" ]; then : ; else if [ "$(uname)" = 'FreeBSD' ]; then cmd="b64encode -r -"; else cmd="base64"; fi; echo "echo Hello from the Atomic Red Team && uname -v" | $cmd > /tmp/encoded.dat; fi;  ;  if [ "$(uname)" = 'FreeBSD' ]; then cmd="b64decode -r"; else cmd="base64 -d"; fi; cat /tmp/encoded.dat | $cmd > /tmp/art.sh; chmod +x /tmp/art.sh; /tmp/art.sh,if [ -e "/tmp/encoded.dat" ]; then : ; else if [ "$(uname)" = 'FreeBSD' ]; then cmd="b64encode -r -"; else cmd="base64"; fi; echo "echo Hello from the Atomic Red Team && uname -v" | $cmd > /tmp/encoded.dat; fi;  ;  if [ "$(uname)" = 'FreeBSD' ]; then cmd="b64decode -r"; else cmd="base64 -d"; fi; cat /tmp/encoded.dat | $cmd > /tmp/art.sh; chmod +x /tmp/art.sh; /tmp/art.sh
2026-05-15T04:19:48Z,Linux Base64 Encoded Shebang in CLI,ebjgrn,safesoc-lnx-01,13749,echo IyEvYmluL2Jhc2gKZWNobyAiaHR0cHM6Ly93d3cueW91dHViZS5jb20vQGF0b21pY3NvbmFmcmlkYXkgRlRXIgo= | base64 -d | bash; echo IyEvYmluL2Rhc2gKZWNobyAiaHR0cHM6Ly93d3cueW91dHViZS5jb20vQGF0b21pY3NvbmFmcmlkYXkgRlRXIgo= | base64 -d | bash; echo IyEvYmluL2Rhc2gKZWNobyAiaHR0cHM6Ly93d3cueW91dHViZS5jb20vQGF0b21pY3NvbmFmcmlkYXkgRlRXIgo= | base64 -d | bash; echo IyEvYmluL3NoCmVjaG8gImh0dHBzOi8vd3d3LnlvdXR1YmUuY29tL0BhdG9taWNzb25hZnJpZGF5IEZUVyIK | base64 -d | bash,echo IyEvYmluL2Jhc2gKZWNobyAiaHR0cHM6Ly93d3cueW91dHViZS5jb20vQGF0b21pY3NvbmFmcmlkYXkgRlRXIgo= | base64 -d | bash; echo IyEvYmluL2Rhc2gKZWNobyAiaHR0cHM6Ly93d3cueW91dHViZS5jb20vQGF0b21pY3NvbmFmcmlkYXkgRlRXIgo= | base64 -d | bash; echo IyEvYmluL2Rhc2gKZWNobyAiaHR0cHM6Ly93d3cueW91dHViZS5jb20vQGF0b21pY3NvbmFmcmlkYXkgRlRXIgo= | base64 -d | bash; echo IyEvYmluL3NoCmVjaG8gImh0dHBzOi8vd3d3LnlvdXR1YmUuY29tL0BhdG9taWNzb25hZnJpZGF5IEZUVyIK | base64 -d | bash
2026-05-15T04:20:34Z,Base64 decoding with shell utilities,ebjgrn,safesoc-lnx-01,13768,ENCODED=$(echo 'Hello from Atomic Red Team test T1140!' | base64); printf $ENCODED | base64 -d; echo $ENCODED | base64 -d; echo $(echo $ENCODED) | base64 -d; echo $ENCODED > /tmp/T1140.encoded && base64 -d /tmp/T1140.encoded; echo $ENCODED > /tmp/T1140.encoded && base64 -d < /tmp/T1140.encoded; echo $ENCODED > /tmp/T1140.encoded && cat /tmp/T1140.encoded | base64 -d; echo $ENCODED > /tmp/T1140.encoded && cat < /tmp/T1140.encoded | base64 -d; bash -c "{echo,\"$(echo $ENCODED)\"}|{base64,-d}",ENCODED=$(echo 'Hello from Atomic Red Team test T1140!' | base64); printf $ENCODED | base64 -d; echo $ENCODED | base64 -d; echo $(echo $ENCODED) | base64 -d; echo $ENCODED > /tmp/T1140.encoded && base64 -d /tmp/T1140.encoded; echo $ENCODED > /tmp/T1140.encoded && base64 -d < /tmp/T1140.encoded; echo $ENCODED > /tmp/T1140.encoded && cat /tmp/T1140.encoded | base64 -d; echo $ENCODED > /tmp/T1140.encoded && cat < /tmp/T1140.encoded | base64 -d; bash -c "{echo,\"$(echo $ENCODED)\"}|{base64,-d}"
2026-05-15T04:21:34Z,Set a file's creation timestamp,ebjgrn,safesoc-lnx-01,13795,NOW=$(date +%m%d%H%M%Y); date 010100001971; touch /tmp/T1070.006-creation.txt; date "$NOW"; stat /tmp/T1070.006-creation.txt,NOW=$(date +%m%d%H%M%Y); date 010100001971; touch /tmp/T1070.006-creation.txt; date "$NOW"; stat /tmp/T1070.006-creation.txt
2026-05-15T04:22:34Z,Pad Binary to Change Hash using truncate command - Linux/macOS,ebjgrn,safesoc-lnx-01,13808,if [ -f /tmp/evil-binary ]; then : ; else cp /bin/ls /tmp/evil-binary; fi;  ;  truncate -s +1 /tmp/evil-binary,if [ -f /tmp/evil-binary ]; then : ; else cp /bin/ls /tmp/evil-binary; fi;  ;  truncate -s +1 /tmp/evil-binary
2026-05-15T04:23:34Z,rm -rf,ebjgrn,safesoc-lnx-01,13815,sudo rm -rf /var/log/system.log; if [ -d /var/audit ] ; then sudo rm -rf /var/audit/20220725213300.202208110700021 ; fi,sudo rm -rf /var/log/system.log; if [ -d /var/audit ] ; then sudo rm -rf /var/audit/20220725213300.202208110700021 ; fi
2026-05-15T04:31:34Z,Pad Binary to Change Hash using truncate command - Linux/macOS,ebjgrn,safesoc-lnx-01,,rm /tmp/evil-binary,
2026-05-15T04:31:34Z,Set a file's creation timestamp,ebjgrn,safesoc-lnx-01,,rm -f /tmp/T1070.006-creation.txt,
2026-05-15T04:31:34Z,Decode base64 Data into Script,ebjgrn,safesoc-lnx-01,,rm /tmp/encoded.dat ; rm /tmp/art.sh,
2026-05-15T04:31:34Z,Create a hidden file in a hidden directory,ebjgrn,safesoc-lnx-01,,rm -rf /var/tmp/.hidden-directory/,
2026-05-15T04:31:34Z,Setting the HISTFILE environment variable,ebjgrn,safesoc-lnx-01,,export HISTFILE=$(echo $TEST),
2026-05-15T04:31:34Z,Edit UFW firewall ufw.conf file,ebjgrn,safesoc-lnx-01,,sed -i 's/# THIS IS A COMMENT//g' /etc/ufw/ufw.conf; cat /etc/ufw/ufw.conf,
2026-05-15T04:31:34Z,Edit UFW firewall sysctl.conf file,ebjgrn,safesoc-lnx-01,,sed -i 's/# THIS IS A COMMENT//g' /etc/ufw/sysctl.conf; cat /etc/ufw/sysctl.conf,
2026-05-15T04:31:34Z,Stop/Start UFW firewall,ebjgrn,safesoc-lnx-01,,ufw enable; ufw status verbose,
