label_id,alert_uid,scenario_id,campaign_id,run_id,agent_name,timestamp,label,event_role,simulation_type,execution_mode,tool,atomic_test_id,caldera_operation_id,caldera_ability_id,mitre_tactic,mitre_technique_id,rule_id,rule_description,confidence,ground_truth_summary,notes
LBL-BG-0001,ALERT-ECD117751EF59C24,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T00:00:24.769-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,52002,Apparmor DENIED,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0002,ALERT-D86B04917478E66D,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T00:00:58.778-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,52002,Apparmor DENIED,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0003,ALERT-EF87045FE313B341,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T00:04:00.786-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,533,Listened ports status (netstat) changed (new port opened or closed).,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0004,ALERT-A278DC3CA7E98F8B,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:01:17.896-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5502,PAM: Login session closed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0005,ALERT-FBB0173B770957CB,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:01:17.896-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5402,Successful sudo to ROOT executed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0006,ALERT-AEE3F32B12042B80,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:01:17.896-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5501,PAM: Login session opened.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0007,ALERT-855CDC2AFFF821AD,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:02:07.913-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5402,Successful sudo to ROOT executed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0008,ALERT-BD1514F723FB5985,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:02:07.913-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5501,PAM: Login session opened.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0009,ALERT-E99D578A97AB1CD0,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:02:07.913-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5502,PAM: Login session closed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0010,ALERT-68F2604EFC92FEC1,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:02:07.913-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5402,Successful sudo to ROOT executed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0011,ALERT-8BEEE1CFE21225E2,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:02:07.913-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5502,PAM: Login session closed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0012,ALERT-5F028D5494B2FDA1,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:02:07.913-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5501,PAM: Login session opened.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0013,ALERT-D762B25EFA674385,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:03:53.941-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5402,Successful sudo to ROOT executed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0014,ALERT-EDF2644B77A32F20,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:03:53.942-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5501,PAM: Login session opened.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0015,ALERT-998FF516906DD720,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:03.943-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5501,PAM: Login session opened.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0016,ALERT-A7A13AC4D44EBB0E,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:03.943-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5502,PAM: Login session closed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0017,ALERT-01231FC3EF1DFF6D,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:03.943-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5402,Successful sudo to ROOT executed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0018,ALERT-86E0B36422174DEB,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.870-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2901,New dpkg (Debian Package) requested to install.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0019,ALERT-CCA61268F869344C,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.869-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2901,New dpkg (Debian Package) requested to install.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0020,ALERT-E4A5587AF9503B26,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.870-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2901,New dpkg (Debian Package) requested to install.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0021,ALERT-33466FC012CA2DAF,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.870-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2902,New dpkg (Debian Package) installed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0022,ALERT-A6387A59B5DF8B4C,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.870-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2901,New dpkg (Debian Package) requested to install.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0023,ALERT-ECD5B6E3DF0DEDD7,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.870-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2904,Dpkg (Debian Package) half configured.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0024,ALERT-75814DC44631384F,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.870-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2904,Dpkg (Debian Package) half configured.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0025,ALERT-237075F096259D0D,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.870-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2902,New dpkg (Debian Package) installed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0026,ALERT-24FD1F227CDFBFEA,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.870-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2902,New dpkg (Debian Package) installed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0027,ALERT-6A02E9A0E51559EB,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.871-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2904,Dpkg (Debian Package) half configured.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0028,ALERT-0DD0C672AD119AD9,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.871-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2902,New dpkg (Debian Package) installed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0029,ALERT-18DD473578BB1334,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.870-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2904,Dpkg (Debian Package) half configured.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0030,ALERT-A66675FB1782B57E,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.871-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2904,Dpkg (Debian Package) half configured.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0031,ALERT-169EF09AEBFEC6B7,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:05.944-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5902,New user added to the system.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0032,ALERT-A85B09A7D19B65B8,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:07.869-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,2902,New dpkg (Debian Package) installed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
LBL-BG-0033,ALERT-3EFF575B572A83F1,,,BACKGROUND-SAMPLE,safesoc-wazuh-01,2026-05-15T01:04:09.946-0400,unrelated_background,unrelated,background,background_sample,wazuh,,,,N/A,N/A,5502,PAM: Login session closed.,medium,Stratified background alert sampled from raw Wazuh export and not correlated to a scenario run.,Automated background sample for Sprint 8; manual review recommended.
